,Prix
1452,33320
355,22870
14,23260
1299,22820
638,26640
489,25200
544,28270
1438,18830
719,52440
56,22030
301,20610
1238,7000
867,9430
281,16940
533,18270
371,8390
1165,24710
1335,31340
492,24580
1555,18130
216,5010
218,23520
658,49900
823,6140
1104,125890
1166,34130
496,34780
756,39270
1163,29980
929,10770
1492,22220
335,13500
343,19080
1040,20190
1031,9100
327,37480
178,30630
1334,47850
0,18680
772,18230
413,19360
1509,15570
1414,23640
269,30760
918,27440
1547,28610
1174,41320
1056,15970
1121,12630
944,34660
875,22740
443,19660
286,33260
1032,4020
1411,56250
65,41050
1174,61980
61,46230
1417,8840
1292,4820
1010,33080
235,24180
1522,26440
1550,27060
926,26850
491,24850
911,32110
1034,30460
476,22280
583,5430
1180,25640
394,13560
1230,19960
417,27100
1380,18000
1578,18860
1502,19000
819,50800
1379,3900
1084,17330
402,36410
696,56530
1257,45300
798,41300
141,23920
1415,34280
611,37780
572,16370
394,4000
103,11500
1534,13660
771,39730
1584,16280
706,37740
88,15290
1529,53550
27,22890
1306,27230
852,7480
389,34060
1257,22960
586,13300
168,17590
537,21640
1388,39790
523,11320
547,29480
563,17830
772,5130
943,4550
1596,18700
557,14860
1042,14330
1033,44060
1286,24410
565,52410
945,14510
1297,38500
970,34660
1274,2630
1382,48460
1263,10690
527,10780
1412,18130
1401,28870
1384,26730
634,7500
815,12280
127,29470
553,15620
1031,15910
823,26230
440,37820
1184,16920
244,16260
1110,20980
392,25160
522,32460
780,31610
191,22480
11,23350
1504,36910
367,16700
489,47350
561,16460
624,9630
1020,10960
1362,27190
1432,26380
1549,11110
697,33730
81,33910
1125,47440
1074,18000
450,24580
116,30480
1206,18340
71,29480
1202,10300
1070,21760
303,13980
107,16630
687,33200
1285,16350
1252,4620
1115,40520
154,33570
641,19720
1026,29120
1138,24620
831,14610
757,68300
1048,7060
190,34670
327,24720
497,31470
578,8470
319,41120
11,30730
942,7040
532,16500
1018,27250
434,29660
1578,14680
1248,25620
1511,36080
1309,11570
934,21650
397,13100
1350,21710
1236,20370
592,46600
1024,42180
163,32800
433,23320
1530,32530
1071,14060
571,26230
138,25660
212,15260
1554,19430
483,15400
844,14150
1544,41230
141,19080
1513,25630
953,12980
1454,15840
1596,22360
653,37070
904,15510
747,45010
742,32710
100,16260
916,14380
1451,13160
1112,5980
20,11760
318,17850
