,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,CITROEN C5 AIRCROSS,1.5 BLUEHDI 130 S&S SHINE EAT8,27700,78,2021,12/05/2021,non requis,66 233 Km,Diesel,automatique,blanc,5,5,12 mois,,SPOTICAR,oui,1,6 CV,131 ch,2,137 g/kmC,5.2 l/100km,EURO6
1,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 82 FEEL,13180,78,2018,12/11/2018,requis,41 030 Km,Essence,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,2,4 CV,82 ch,1,109 g/kmB,4.1 l/100km,EURO6
2,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 82 FEEL,10860,78,2017,01/11/2017,requis,84 225 Km,Essence,mécanique,blanc,5,5,12 mois,,SPOTICAR,oui,2,4 CV,82 ch,1,109 g/kmB,4.1 l/100km,EURO6
3,CITROEN C3 ENTREPRISE (3E GENERATION),III (2) C3 SOCIETE BLUEHDI 100 S&S FEEL NAV BVM6,9700,24,2020,02/02/2020,non requis,82 886 Km,Diesel,mécanique,BLANC BANQUISE,5,2,12 mois,,,oui,1,5 CV,102 ch,2,86 g/kmA,,EURO6
4,CITROEN SPACETOURER,2.0 M BLUEHDI 180CV RIP CURL S&S EAT8 E6.D-TEMP 144G,53980,84,2020,23/11/2020,non requis,52 412 Km,Diesel,automatique,noir,4,,,,,non,,10 CV,180 ch,,,,
5,CITROEN C3 AIRCROSS,(2) 1.5 BLUEHDI 120 S&S SHINE EAT6,26200,13,2023,28/11/2023,non requis,9 959 Km,Diesel,automatique,Gris Acier (M),5,5,12 mois,,SPOTICAR,non,,6 CV,120 ch,2,131 g/kmC,5 l/100km,EURO6
6,CITROEN C1 (2E GENERATION),II 1.0 VTI 72 S&S 4CV FEEL 5P,13300,76,2021,11/08/2021,non requis,21 309 Km,Essence,mécanique,rouge,5,4,12 mois,,SPOTICAR,oui,1,4 CV,72 ch,1,110 g/kmB,4.8 l/100km,EURO6
7,CITROEN C4 CACTUS,(2) 1.2 PURETECH 130 S&S SHINE EAT6,22720,47,2021,15/09/2021,non requis,46 332 Km,Essence,automatique,Noir Obsidien (N),5,5,12 mois,,SPOTICAR,non,,6 CV,131 ch,1,108 g/kmB,4.8 l/100km,EURO6
8,CITROEN C3 AIRCROSS,1.5 BLUEHDI 110 S&S SHINE BV6,22180,47,2022,06/04/2022,non requis,48 383 Km,Diesel,mécanique,Noir Perla Nera (M),5,5,12 mois,en cours,SPOTICAR,non,,6 CV,110 ch,2,122 g/kmC,4.6 l/100km,EURO6
9,CITROEN C3 AIRCROSS,1.2 PURETECH 110 S&S RIP CURL EAT6,21980,76,2020,27/01/2021,non requis,14 029 Km,Essence,automatique,blanc,5,5,12 mois,,SPOTICAR,oui,1,6 CV,110 ch,1,114 g/kmB,5.7 l/100km,EURO6
10,CITROEN JUMPY 3 FOURGON,III TAILLE M BLUEHDI 115 S&S BUSINESS BV6,21240,78,2017,26/07/2017,requis,63 547 Km,Diesel,mécanique,blanc,4,2,12 mois,,SPOTICAR,oui,1,5 CV,116 ch,2,133 g/kmC,4.9 l/100km,EURO6
