,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,MERCEDES GLC COUPE,(2) 300 E 4MATIC AMG LINE 9G-TRONIC,58800,67,2019,15/07/2019,non requis,43 583 Km,Hybride essence électrique,automatique,noir,5,5,12 mois,,,non,3,10 CV,211 ch,1,,,EURO6
1,MERCEDES GLC,250 D EXECUTIVE 4MATIC,39430,24,2018,14/05/2018,requis,92 434 Km,Diesel,automatique,gris,5,5,6 mois,,,non,2,11 CV,204 ch,2,129 g/kmC,4.7 l/100km,EURO6
2,MERCEDES CLASSE A 3,III (2) 180 D BUSINESS EDITION 7G-DCT,25600,24,2018,17/06/2018,requis,91 271 Km,Diesel,automatique,blanc,5,5,6 mois,,,oui,1,5 CV,109 ch,2,98 g/kmA,3.4 l/100km,EURO6
3,MERCEDES CLASSE C 4,IV 250 BLUETEC SPORTLINE 7G-TRONIC,33620,06,2016,11/05/2016,requis,52 428 Km,Diesel,automatique,GRIS C,4,5,6 mois,,,non,,11 CV,204 ch,2,113 g/kmB,4.4 l/100km,EURO5
4,MERCEDES SLK,200 KOMPRESSOR,14570,06,2005,03/02/2005,requis,59 928 Km,Essence,mécanique,GRIS C,2,2,6 mois,,,non,,11 CV,163 ch,3,,9.6 l/100km,EURO3
5,MERCEDES CLASSE E 4 COUPE,IV COUPE 500 EXECUTIVE BA7 7G-TRONIC,25090,06,2012,03/03/2012,requis,103 949 Km,Essence,automatique,NOIR,2,4,6 mois,,,non,,29 CV,387 ch,1,254 g/kmG,10.9 l/100km,EURO5
6,MERCEDES CLASSE A 4,IV 250 E 8CV AMG LINE 8G-DCT,57370,17,2023,05/07/2023,non requis,12 548 Km,Hybride essence électrique,automatique,Noir cosmos métallisé,5,5,24 mois,,Mercedes-Benz Certified,oui,,8 CV,218 ch,1,,,EURO6
7,MERCEDES CLASSE C 4,IV 220 BLUETEC EXECUTIVE,25490,06,2015,02/11/2015,requis,122 550 Km,Diesel,mécanique,BLANC,4,5,6 mois,,,non,,9 CV,170 ch,2,103 g/kmB,4.1 l/100km,EURO5
8,MERCEDES SLK 2,II 280 EDITION 10 BA7 7G-TRONIC,16390,06,2006,07/03/2006,requis,121 067 Km,Essence,automatique,GRIS,2,2,6 mois,,,non,,15 CV,231 ch,3,222 g/kmF,9.3 l/100km,EURO3
9,MERCEDES SLK 2,II 200 K BVA,13580,06,2007,18/10/2007,requis,120 342 Km,Essence,automatique,NOIR,2,2,6 mois,,,non,,10 CV,163 ch,2,211 g/kmF,8.8 l/100km,EURO4
10,MERCEDES CLASSE A 4,IV 250 E 8CV PROGRESSIVE LINE 8G-DCT,52530,17,2022,11/12/2022,non requis,11 470 Km,Hybride essence électrique,automatique,Blanc digital métallisé,5,5,24 mois,en cours,Mercedes-Benz Certified,non,,8 CV,218 ch,1,22 g/kmA,1 l/100km,EURO6
11,MERCEDES CLASSE C 2,II (2) 350 AVANTGARDE BA7 7G-TRONIC,19430,06,2009,24/11/2009,requis,82 618 Km,Essence,automatique,NOIR,4,5,6 mois,,,non,,18 CV,272 ch,2,232 g/kmF,9.7 l/100km,EURO4
12,MERCEDES CLA 2 SHOOTING BRAKE,II SHOOTING BRAKE 200 PROGRESSIVE LINE 7G-DCT,48690,31,2023,11/04/2023,non requis,9 860 Km,Essence,automatique,Noir cosmos métallisé,5,5,24 mois,,Mercedes-Benz Certified,oui,,9 CV,163 ch,1,137 g/kmC,6 l/100km,EURO6
13,MERCEDES CLA 2,II 250 E AMG LINE 8G-DCT,56450,76,2021,26/08/2021,non requis,17 072 Km,Hybride essence électrique,automatique,Noir cosmos métallisé,4,5,24 mois,,Mercedes-Benz Certified,oui,,8 CV,160 ch,1,,,EURO6
14,MERCEDES GLC COUPE,250 D 12CV FASCINATION 4MATIC 9G-TRONIC,54030,35,2020,23/06/2020,non requis,48 026 Km,Diesel,automatique,Blanc polaire,5,5,12 mois,,BMW Europlus,non,,12 CV,204 ch,2,155 g/kmD,5.9 l/100km,EURO6
15,MERCEDES CLASSE A 3,III 180 CDI SENSATION,16450,78,2014,09/08/2014,requis,234 972 Km,Diesel,mécanique,Gris Montagne,5,5,,,,non,,5 CV,109 ch,2,98 g/kmA,4.1 l/100km,EURO5
16,MERCEDES CLASSE E 4 COUPE,IV COUPE 500 EXECUTIVE BA7 7G-TRONIC,25090,06,2012,03/03/2012,requis,103 949 Km,Essence,automatique,NOIR,2,4,6 mois,,,non,,29 CV,387 ch,1,254 g/kmG,10.9 l/100km,EURO5
17,MERCEDES CLASSE A 4,IV 250 E 8CV AMG LINE 8G-DCT,57370,17,2023,05/07/2023,non requis,12 548 Km,Hybride essence électrique,automatique,Noir cosmos métallisé,5,5,24 mois,,Mercedes-Benz Certified,oui,,8 CV,218 ch,1,,,EURO6
18,MERCEDES CLASSE C 4,IV 220 BLUETEC EXECUTIVE,25490,06,2015,02/11/2015,requis,122 550 Km,Diesel,mécanique,BLANC,4,5,6 mois,,,non,,9 CV,170 ch,2,103 g/kmB,4.1 l/100km,EURO5
19,MERCEDES SLK 2,II 280 EDITION 10 BA7 7G-TRONIC,16390,06,2006,07/03/2006,requis,121 067 Km,Essence,automatique,GRIS,2,2,6 mois,,,non,,15 CV,231 ch,3,222 g/kmF,9.3 l/100km,EURO3
20,MERCEDES CLA SHOOTING BRAKE,(2) SHOOTING BRAKE 200 D STARLIGHT EDITION 7G-DCT,33620,33,2020,04/08/2020,non requis,76 030 Km,Diesel,automatique,gris,5,5,12 mois,,SPOTICAR,non,3,7 CV,136 ch,2,141 g/kmD,5.2 l/100km,EURO6
21,MERCEDES CLASSE A 2,II 180 CDI AVANTGARDE 5P,7020,06,2007,05/12/2007,requis,169 201 Km,Diesel,mécanique,NOIR,5,5,6 mois,,,non,,6 CV,109 ch,3,138 g/kmC,5.2 l/100km,EURO4
22,MERCEDES SLK 2,II 200 K BVA,13580,06,2007,18/10/2007,requis,120 342 Km,Essence,automatique,NOIR,2,2,6 mois,,,non,,10 CV,163 ch,2,211 g/kmF,8.8 l/100km,EURO4
23,MERCEDES GLC COUPE,(2) 220 D AMG LINE LAUNCH EDITION 4MATIC,60900,31,2021,22/12/2021,non requis,89 479 Km,Diesel,automatique,Gris sélénite magno designo,5,5,24 mois,,Mercedes-Benz Certified,non,,11 CV,194 ch,2,167 g/kmE,6.4 l/100km,EURO6
24,MERCEDES CLASSE A 4,IV 250 E 8CV PROGRESSIVE LINE 8G-DCT,52530,17,2022,11/12/2022,non requis,11 470 Km,Hybride essence électrique,automatique,Blanc digital métallisé,5,5,24 mois,en cours,Mercedes-Benz Certified,non,,8 CV,218 ch,1,22 g/kmA,1 l/100km,EURO6
25,MERCEDES CLASSE C 2,II (2) 350 AVANTGARDE BA7 7G-TRONIC,19430,06,2009,24/11/2009,requis,82 618 Km,Essence,automatique,NOIR,4,5,6 mois,,,non,,18 CV,272 ch,2,232 g/kmF,9.7 l/100km,EURO4
26,MERCEDES GLA,(2) 180 D SENSATION 7G-DCT,28040,81,2018,07/06/2018,requis,98 119 Km,Diesel,automatique,Gris montagne,5,5,24 mois,,Mercedes-Benz Certified,oui,,5 CV,109 ch,2,103 g/kmB,3.9 l/100km,EURO6
27,MERCEDES CLASSE A 4,IV 180 D PROGRESSIVE LINE 7G-DCT 100G,35860,76,2021,09/09/2021,non requis,22 192 Km,Diesel,automatique,Noir cosmos métallisé,5,5,24 mois,,Mercedes-Benz Certified,non,,6 CV,116 ch,2,118 g/kmB,4.5 l/100km,EURO6
28,MERCEDES VITO 3,III (2) MIXTO 119 CDI LONG BVA RWD SELECT,57480,28,2023,02/08/2023,non requis,1 Km,Diesel,automatique,Noir Obsidienne Métallisée,5,5,,,,non,,7 CV,190 ch,2,205 g/kmF,,EURO6
29,MERCEDES GLA 2,II 200 D PROGRESSIVE LINE 8G-DCT,49470,78,2022,22/10/2022,non requis,37 441 Km,Diesel,automatique,Gris montagne métallisé,5,5,24 mois,,Mercedes-Benz Certified,oui,,8 CV,150 ch,2,138 g/kmC,5.3 l/100km,EURO6
30,MERCEDES CLA,220 CDI FASCINATION 7G-DCT,22770,77,2014,16/01/2015,requis,177 833 Km,Diesel,automatique,GRIS C,4,5,12 mois,,,non,,9 CV,177 ch,2,111 g/kmB,4.2 l/100km,EURO5
31,MERCEDES VANEO,1.9 AMBIENTE,7510,28,2006,13/12/2006,requis,177 439 Km,Essence,mécanique,BLEU FONCE,5,5,6 mois,,,non,,8 CV,125 ch,3,,8.2 l/100km,EURO3
