,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,MERCEDES GLC COUPE,(2) 300 E 12CV BUSINESS LINE 4MATIC,79440,87,2022,17/03/2022,non requis,33 653 Km,Hybride essence électrique,automatique,Noir obsidienne métallisé,5,5,24 mois,en cours,Mercedes-Benz Certified,non,,12 CV,320 ch,1,50 g/kmA,2.2 l/100km,EURO6
1,MERCEDES GLE 2,II 300 D 4MATIC AMG LINE,111720,66,2021,11/10/2021,non requis,23 430 Km,Diesel,automatique,Blanc diamant designo brillante,5,5,24 mois,,Mercedes-Benz Certified,non,,15 CV,245 ch,2,,7.5 l/100km,EURO6
2,MERCEDES CLA 2,II 180 D 6CV AMG LINE 7G-DCT,39790,66,2020,01/08/2020,non requis,101 540 Km,Diesel,automatique,Blanc polaire,4,5,24 mois,,Mercedes-Benz Certified,non,,6 CV,116 ch,2,100 g/kmA,,EURO6
3,MERCEDES CLASSE A 4 BERLINE,IV BERLINE 180 D AMG LINE 7G-DCT,34480,31,2020,30/11/2020,non requis,69 712 Km,Diesel,automatique,Gris montagne métallisé,4,5,24 mois,,Mercedes-Benz Certified,non,,6 CV,116 ch,2,100 g/kmA,3.8 l/100km,EURO6
4,MERCEDES CLASSE B 3,III B 200 D AMG LINE EDITION 8G-DCT,42820,11,2022,16/04/2022,non requis,14 666 Km,Diesel,automatique,Argent iridium métallisé,5,5,24 mois,en cours,Mercedes-Benz Certified,oui,,8 CV,150 ch,2,133 g/kmC,5.1 l/100km,EURO6
5,MERCEDES CLASSE E 5 COUPE,V COUPE 220 D SPORTLINE 9G-TRONIC,45370,14,2018,07/03/2018,requis,104 366 Km,Diesel,automatique,BLANC POLAIRE,2,4,6 mois,,,non,,10 CV,194 ch,2,119 g/kmB,4.6 l/100km,EURO6
6,MERCEDES GLA 2,II 200 AMG LINE DCT,52480,84,2021,23/08/2021,non requis,27 135 Km,Essence,automatique,MOUNTAINGRAU - MET.,5,5,24 mois,,,non,2,9 CV,163 ch,1,154 g/kmD,6.7 l/100km,EURO6
7,MERCEDES CLASSE E 5,V 220 D AMG LINE 4MATIC 9G-TRONIC,59250,03,2023,17/01/2024,non requis,19 080 Km,Diesel,automatique,Noir obsidienne,4,5,24 mois,en cours,Mercedes-Benz Certified,oui,,11 CV,194 ch,2,159 g/kmD,6 l/100km,EURO6
8,MERCEDES GLC,350 E BUSINESS EXECUTIVE 4MATIC,47050,10,2019,03/03/2019,non requis,88 566 Km,Hybride essence électrique,automatique,Gris sélénite,5,5,12 mois,,,oui,,10 CV,211 ch,1,59 g/kmA,,EURO6
9,MERCEDES CLK 2 CABRIOLET,II CABRIOLET 240 ELEGANCE BVA,9000,06,2004,08/08/2004,requis,345 168 Km,Essence,automatique,GRIS C,2,4,,,,non,,12 CV,170 ch,3,,10.3 l/100km,EURO3
10,MERCEDES CLASSE A 4,IV 180 D STYLE LINE 7G-DCT 100G,31960,29,2021,27/09/2021,non requis,86 460 Km,Diesel,automatique,noir,5,5,6 mois,,,oui,1,6 CV,116 ch,2,118 g/kmB,,EURO6
11,MERCEDES CLASSE A 4,IV 250 E 8CV AMG LINE 8G-DCT,46680,73,2021,10/04/2021,non requis,41 400 Km,Hybride essence électrique,automatique,Rouge Patagonie métallisé designo,5,5,24 mois,,Mercedes-Benz Certified,non,,8 CV,218 ch,1,24 g/kmA,1.1 l/100km,EURO6
12,MERCEDES GLC 2,II 220 D AMG LINE 4MATIC 9G-TRONIC,81080,94,2023,03/04/2023,non requis,5 800 Km,Diesel,automatique,Noir obsidienne métallisé,5,5,24 mois,,Mercedes-Benz Certified,non,,11 CV,197 ch,2,136 g/kmC,5.2 l/100km,EURO6
13,MERCEDES CLASSE E 5,V 220 D AVANTGARDE LINE 9G-TRONIC,46970,95,2019,19/03/2019,non requis,39 389 Km,Diesel,automatique,Gris sélénite,4,5,24 mois,,Mercedes-Benz Certified,non,,10 CV,194 ch,2,123 g/kmC,4.7 l/100km,EURO6
14,MERCEDES GLC COUPE,(2) 220 D AMG LINE LAUNCH EDITION 4MATIC,67350,75,2020,09/01/2021,non requis,84 316 Km,Diesel,automatique,Gris graphite métallisé,5,5,24 mois,,Mercedes-Benz Certified,non,,11 CV,194 ch,2,139 g/kmC,6 l/100km,EURO6
15,MERCEDES CLASSE B 3,III 180 7CV PROGRESSIVE LINE EDITION 7G-DCT,30240,24,2020,23/01/2021,non requis,33 600 Km,Essence,automatique,BLANC,5,5,12 mois,,,oui,,7 CV,136 ch,1,119 g/kmB,5.2 l/100km,EURO6
16,MERCEDES CLASSE C 4 CABRIOLET,IV CABRIOLET 220 D SPORTLINE 9G-TRONIC,44870,74,2018,30/11/2018,requis,68 941 Km,Diesel,automatique,Gris sélénite  métallisée,2,4,24 mois,,Mercedes-Benz Certified,non,,9 CV,170 ch,2,133 g/kmC,5.2 l/100km,EURO6
17,MERCEDES CLASSE B 3,III 180 D STYLE LINE EDITION 7G-DCT,31080,72,2020,11/11/2020,non requis,52 437 Km,Diesel,automatique,Noir cosmos métallisé,5,5,24 mois,,Mercedes-Benz Certified,non,,6 CV,116 ch,2,100 g/kmA,3.8 l/100km,EURO6
