,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,PEUGEOT 2008,(2) 1.6 BLUEHDI 120 S&S 6CV ALLURE,17360,75,2018,06/09/2018,requis,121 896 Km,Diesel,mécanique,bleu,5,5,12 mois,,,non,,6 CV,120 ch,2,96 g/kmA,3.3 l/100km,EURO6
1,PEUGEOT 308 (2E GENERATION) SW,II (2) SW 2.0 BLUEHDI 180 S&S GT EAT8,34560,35,2021,01/07/2021,non requis,27 041 Km,Diesel,automatique,blanc,5,5,12 mois,,SPOTICAR,oui,1,9 CV,177 ch,2,160 g/kmD,6.1 l/100km,EURO6
2,PEUGEOT 308 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S 7CV ALLURE,32840,35,2023,14/04/2023,non requis,11 Km,Diesel,mécanique,gris,5,5,12 mois,en cours,SPOTICAR,non,,7 CV,130 ch,2,120 g/kmB,4.6 l/100km,EURO6
3,PEUGEOT 508 (2E GENERATION) SW,II SW 1.5 BLUEHDI 130 S&S ALLURE BUSINESS EAT8,31700,78,2020,02/05/2020,non requis,59 939 Km,Diesel,automatique,gris,5,5,12 mois,,,oui,1,6 CV,131 ch,2,92 g/kmA,3.8 l/100km,EURO6
4,PEUGEOT 508 SW,SW 1.6 E-HDI FAP 115 ALLURE BMP6,13180,95,2013,22/04/2013,requis,78 694 Km,Diesel,automatique,noir metal,5,5,12 mois,,,non,4,6 CV,114 ch,2,110 g/kmB,3.9 l/100km,EURO5
5,PEUGEOT 5008 (2E GENERATION),II 2.0 BLUEHDI 180 S&S GT LINE EAT8,43630,93,2020,01/05/2020,non requis,26 304 Km,Diesel,automatique,noir,5,7,12 mois,,SPOTICAR,non,2,9 CV,177 ch,2,121 g/kmC,4.8 l/100km,EURO6
6,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S GT,28290,42,2023,10/01/2024,non requis,1 Km,Essence,mécanique,rouge,5,5,,,,oui,,5 CV,100 ch,1,118 g/kmB,5.3 l/100km,EURO6
7,PEUGEOT 308 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S ACTIVE PACK,36230,47,2023,03/11/2023,non requis,13 Km,Diesel,mécanique,P. M. Gris Artense,5,5,12 mois,en cours,Occasions du Lion PREMIUM,oui,1,7 CV,131 ch,2,114 g/kmB,4.6 l/100km,EURO6
8,PEUGEOT 5008 (2E GENERATION),II 1.2 PURETECH 130 S&S ALLURE,27480,75,2018,07/11/2018,requis,84 644 Km,Essence,mécanique,noir,5,7,12 mois,,,non,,7 CV,131 ch,1,117 g/kmB,4.5 l/100km,EURO6
9,PEUGEOT 308 (2E GENERATION),II (2) 1.2 PURETECH 130 S&S ALLURE PACK,23650,45,2022,13/12/2022,non requis,30 874 Km,Essence,mécanique,platine,5,5,12 mois,en cours,,non,,7 CV,130 ch,1,125 g/kmC,5.6 l/100km,EURO6
10,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ALLURE BUSINESS 5P,22770,35,2021,09/02/2021,non requis,14 789 Km,Essence,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,1,5 CV,101 ch,1,124 g/kmC,5.3 l/100km,EURO6
11,PEUGEOT 5008 (2E GENERATION),II 1.6 BLUEHDI 120 S&S ALLURE EAT6,26910,93,2019,01/08/2019,non requis,72 067 Km,Diesel,automatique,gris,5,7,12 mois,,SPOTICAR,non,3,6 CV,120 ch,2,112 g/kmB,4 l/100km,EURO6
12,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S GT PACK,24040,18,2022,13/05/2022,non requis,23 431 Km,Essence,mécanique,gris foncé,5,5,,en cours,,non,2,5 CV,101 ch,1,120 g/kmB,5.3 l/100km,EURO6
13,PEUGEOT E-2008 (2E GENERATION),II ELECTRIQUE ACTIVE,33020,94,2022,03/10/2022,non requis,5 900 Km,Electrique,automatique,gris,5,5,12 mois,,SPOTICAR,oui,1,4 CV,78 ch,0,0 g/kmA,,EURO6
