,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,PEUGEOT 308,1.6 THP 150 FELINE 5P,6150,31,2009,29/10/2009,requis,215 248 Km,Essence,mécanique,BLEU F,5,5,3 mois,,,non,,9 CV,150 ch,2,155 g/kmD,7.2 l/100km,EURO4
1,PEUGEOT 5008 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S ALLURE PACK,43440,82,2023,09/07/2023,non requis,5 667 Km,Diesel,mécanique,Bleu Célèbes (M),5,7,12 mois,,SPOTICAR,non,,7 CV,130 ch,2,133 g/kmC,5.1 l/100km,EURO6
2,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 75 S&S ACTIVE BUSINESS,21500,82,2021,22/02/2021,non requis,20 434 Km,Essence,mécanique,Blanc Banquise,5,5,12 mois,,SPOTICAR,non,,4 CV,75 ch,1,122 g/kmC,5.4 l/100km,EURO6
3,PEUGEOT 308 (2E GENERATION) SW,II (2) SW 1.5 BLUEHDI 130 S&S STYLE,16180,82,2020,01/09/2020,non requis,117 374 Km,Diesel,mécanique,Rouge Ultimate,5,5,8 mois,,SPOTICAR,non,,6 CV,130 ch,2,92 g/kmA,3.5 l/100km,EURO6
4,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ALLURE EAT8,22420,82,2020,09/03/2020,non requis,69 004 Km,Essence,automatique,Gris Platinium,5,5,12 mois,,SPOTICAR,non,,5 CV,100 ch,1,97 g/kmA,4.3 l/100km,EURO6
5,PEUGEOT PARTNER 3 FOURGON,III 1.6 BLUEHDI 100 650KG STANDARD ASPHALT,21680,82,2020,10/02/2020,non requis,70 818 Km,Diesel,mécanique,Peinture métallisée,4,2,12 mois,,SPOTICAR,oui,,5 CV,102 ch,2,109 g/kmB,4.1 l/100km,EURO6
6,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 130 S&S GT LINE EAT8,26610,82,2021,22/07/2021,non requis,18 392 Km,Essence,automatique,Bleu Vertigo,5,5,12 mois,,SPOTICAR,non,,6 CV,130 ch,1,,,EURO6
7,PEUGEOT 2008,(2) 1.5 BLUEHDI 100 STYLE E6,18420,82,2019,27/04/2019,non requis,130 013 Km,Diesel,mécanique,Gris Platinium,5,5,8 mois,,SPOTICAR,non,,5 CV,100 ch,2,98 g/kmA,4 l/100km,EURO6
8,PEUGEOT 3008,(2) 1.6 BLUEHDI 120 S&S ACTIVE BUSINESS,12760,31,2017,24/12/2017,requis,148 054 Km,Diesel,mécanique,BLANC,5,5,6 mois,,,oui,,6 CV,120 ch,2,108 g/kmB,4.1 l/100km,EURO6
9,PEUGEOT 3008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S CROSSWAY,30210,82,2020,16/12/2020,non requis,73 230 Km,Diesel,mécanique,Noir Perla Nera (M),5,5,12 mois,,SPOTICAR,non,,6 CV,130 ch,2,106 g/kmB,4 l/100km,EURO6
10,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S GT,27260,82,2023,14/03/2023,non requis,2 937 Km,Essence,mécanique,Bleu Vertigo,5,5,12 mois,,SPOTICAR,non,,5 CV,100 ch,1,115 g/kmB,5.1 l/100km,EURO6
11,PEUGEOT 208,(2) 1.6 BLUEHDI 75 STYLE 5P,15440,82,2019,03/05/2019,non requis,69 996 Km,Diesel,mécanique,Gris Platinium,5,5,12 mois,,SPOTICAR,non,,4 CV,75 ch,2,90 g/kmA,3.5 l/100km,EURO6
12,PEUGEOT 2008 (2E GENERATION),II 1.5 BLUEHDI 110 S&S ACTIVE PACK,25700,82,2022,10/07/2022,non requis,23 650 Km,Diesel,mécanique,Blanc banquise (O),5,5,12 mois,en cours,SPOTICAR,non,,5 CV,110 ch,2,115 g/kmB,4.4 l/100km,EURO6
13,PEUGEOT 3008 (2E GENERATION),II HYBRID 225 10CV ALLURE E-EAT8,37270,82,2021,03/06/2021,non requis,23 487 Km,Hybride essence électrique,automatique,Gris Artense (M),5,5,12 mois,,SPOTICAR,non,,10 CV,225 ch,1,30 g/kmA,1.3 l/100km,EURO6
14,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 75 S&S ACTIVE BUSINESS,21390,82,2021,18/07/2021,non requis,21 539 Km,Essence,mécanique,Blanc Banquise,5,5,12 mois,,SPOTICAR,non,,4 CV,75 ch,1,122 g/kmC,5.4 l/100km,EURO6
15,PEUGEOT EXPERT 3 FOURGON,III 1.5 BLUEHDI 120 S&S COMPACT URBAN,31230,82,2020,08/01/2021,non requis,65 408 Km,Diesel,mécanique,Blanc Banquise,4,3,12 mois,,SPOTICAR,non,,5 CV,120 ch,2,128 g/kmC,4.9 l/100km,EURO6
16,PEUGEOT 208,(2) 1.6 BLUEHDI 75 LIKE 5P,12370,82,2018,13/11/2018,requis,112 820 Km,Diesel,mécanique,Blanc Banquise,5,5,8 mois,,SPOTICAR,non,,4 CV,75 ch,2,90 g/kmA,3.5 l/100km,EURO6
17,PEUGEOT 508 (2E GENERATION) SW,II SW 1.5 BLUEHDI 130 S&S 7CV GT LINE EAT8,32210,82,2021,16/04/2021,non requis,48 405 Km,Diesel,automatique,Rouge Ultimate,5,5,12 mois,,SPOTICAR,non,,7 CV,130 ch,2,127 g/kmC,4.8 l/100km,EURO6
18,PEUGEOT 208,1.2 VTI 82 ACTIVE ETG5 5P,11650,82,2014,23/05/2014,requis,107 097 Km,Essence,automatique,Gris Aluminium,5,5,8 mois,,SPOTICAR,non,,4 CV,82 ch,1,95 g/kmA,4.1 l/100km,EURO5
19,PEUGEOT 208,(2) 1.6 BLUEHDI 75 URBAN SOUL 5P,10630,82,2016,22/01/2017,requis,164 658 Km,Diesel,mécanique,Gris Aluminium,5,5,6 mois,,SPOTICAR,non,,4 CV,75 ch,2,90 g/kmA,3.5 l/100km,EURO6
20,PEUGEOT 308 (2E GENERATION) SW,II (2) SW 1.6 BLUEHDI 100 S&S ACTIVE BUSINESS,13240,82,2018,07/04/2018,requis,185 608 Km,Diesel,mécanique,Blanc Banquise,5,5,8 mois,,SPOTICAR,non,,5 CV,100 ch,2,95 g/kmA,3.6 l/100km,EURO6
21,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 75 S&S ACTIVE BUSINESS,22930,82,2021,14/03/2021,non requis,20 447 Km,Essence,mécanique,Blanc Banquise,5,5,12 mois,,SPOTICAR,non,,4 CV,75 ch,1,122 g/kmC,5.4 l/100km,EURO6
22,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 75 S&S ACTIVE BUSINESS,19670,82,2021,14/02/2021,non requis,22 415 Km,Essence,mécanique,Blanc Banquise,5,5,12 mois,,SPOTICAR,non,,4 CV,75 ch,1,122 g/kmC,5.4 l/100km,EURO6
23,PEUGEOT 3008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S ALLURE,23810,82,2019,24/01/2020,non requis,88 614 Km,Diesel,mécanique,Gris Artense (M),5,5,8 mois,,SPOTICAR,non,,6 CV,130 ch,2,106 g/kmB,4.2 l/100km,EURO6
24,PEUGEOT 208 (2E GENERATION),II 1.5 BLUEHDI 100 S&S GT,28870,40,2023,14/03/2023,non requis,11 549 Km,Diesel,mécanique,GRIS PLATINIUM,5,5,12 mois,,SPOTICAR,non,,5 CV,100 ch,2,106 g/kmB,4 l/100km,EURO6
25,PEUGEOT 2008,1.6 BLUEHDI 120 S&S ALLURE,13790,27,2017,21/01/2018,requis,141 079 Km,Diesel,mécanique,Gris Platinium,5,5,12 mois,,SPOTICAR,non,,6 CV,120 ch,2,96 g/kmA,3.7 l/100km,EURO6
26,PEUGEOT 208,(2) 1.2 PURETECH 110 S&S 6CV GT LINE EAT6 5P,18340,21,2020,21/10/2020,non requis,62 561 Km,Essence,automatique,BLANC,5,5,12 mois,,,oui,1,6 CV,110 ch,1,114 g/kmB,4.9 l/100km,EURO6
