,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,RENAULT ZOE,R90 BUSINESS 2019,18700,31,2020,19/04/2020,non requis,51 286 Km,Electrique,automatique,blanc,5,5,12 mois,,,oui,1,1 CV,59 ch,0,0 g/kmA,,EURO6
1,RENAULT KANGOO 2 EXPRESS,II (2) GRAND CONFORT ENERGY DCI 110 E6,14380,24,2018,28/12/2018,non requis,124 507 Km,Diesel,mécanique,blanc,4,2,6 mois,,,oui,1,5 CV,110 ch,2,115 g/kmB,4.2 l/100km,EURO6
2,RENAULT SCENIC 4,IV 1.7 DCI 120 BLUE BUSINESS EDC,25420,31,2022,21/08/2022,non requis,18 498 Km,Diesel,automatique,gris clair,5,5,,en cours,,oui,1,6 CV,120 ch,2,155 g/kmD,,EURO6
3,RENAULT SCENIC 4,IV 1.7 BLUE DCI 120 ZEN,23080,31,2021,26/05/2021,non requis,37 506 Km,Diesel,mécanique,beige,5,7,12 mois,,,oui,1,6 CV,120 ch,2,142 g/kmD,5.4 l/100km,EURO6
4,RENAULT GRAND KANGOO 2,II (2) 1.5 DCI 110 FAP INTENS,19660,24,2016,28/08/2016,requis,124 828 Km,Diesel,mécanique,gris,5,7,6 mois,,,oui,1,6 CV,110 ch,2,123 g/kmC,4.7 l/100km,EURO5
5,RENAULT TRAFIC 3,III (2) FOURGON GRAND CONFORT L1H1 1000 DCI 120,23290,13,2020,24/02/2020,non requis,101 684 Km,Diesel,mécanique,blanc,4,3,12 mois,,SPOTICAR,non,3,7 CV,120 ch,2,154 g/kmD,5.8 l/100km,EURO6
6,RENAULT CLIO 4,IV (2) 1.5 DCI 75 ENERGY BUSINESS,12160,31,2018,10/11/2018,requis,92 800 Km,Diesel,mécanique,blanc,5,5,,,,non,2,4 CV,75 ch,2,85 g/kmA,3.1 l/100km,EURO6
7,RENAULT KADJAR,(2) 1.5 DCI BLUE 115 BUSINESS EDC,20870,69,2020,11/07/2020,non requis,36 850 Km,Diesel,automatique,Gris,5,5,12 mois,,Das WeltAuto. Medium,oui,1,6 CV,116 ch,2,113 g/kmB,4.3 l/100km,EURO6
8,RENAULT ESPACE 5,V 1.6 DCI 160 TWIN TURBO ENERGY INTENS EDC 5PL,17580,59,2017,24/02/2017,requis,169 829 Km,Diesel,automatique,gris,5,7,6 mois,,SPOTICAR,non,2,8 CV,161 ch,2,120 g/kmB,4.4 l/100km,EURO6
9,RENAULT CLIO 5,V 1.0 SCE 75 ZEN,18110,31,2021,25/11/2021,non requis,27 500 Km,Essence,mécanique,blanc,5,5,12 mois,,,oui,1,4 CV,72 ch,1,121 g/kmC,5.4 l/100km,EURO6
10,RENAULT TWINGO 3,III 1.0 SCE 70 LIMITED E6C,11290,80,2019,11/04/2019,non requis,55 196 Km,Essence,mécanique,blanc,5,4,12 mois,,SPOTICAR,oui,2,4 CV,71 ch,1,125 g/kmC,5.5 l/100km,EURO6
11,RENAULT CAPTUR 2,II 1.3 TCE 140 INTENS EDC MY21,29880,31,2022,21/05/2022,non requis,17 250 Km,Essence,automatique,bleu,5,5,36 mois,,,oui,1,7 CV,140 ch,1,135 g/kmC,5.9 l/100km,EURO6
12,RENAULT CLIO 4,IV (2) 0.9 TCE 90 ENERGY LIMITED,14500,68,2018,09/05/2018,requis,117 814 Km,Essence,mécanique,Blanc,5,5,8 mois,,SPOTICAR,non,,5 CV,90 ch,1,105 g/kmB,4.7 l/100km,EURO6
13,RENAULT MEGANE 4,IV 1.3 TCE 140 FAP BUSINESS,20670,77,2020,12/01/2021,non requis,57 500 Km,Essence,mécanique,GRIS,5,5,12 mois,,SPOTICAR,non,,7 CV,140 ch,1,120 g/kmB,5.2 l/100km,EURO6
14,RENAULT KADJAR,1.2 TCE 130 ENERGY SL BLACK EDITION EDC,21030,34,2017,02/03/2017,requis,83 846 Km,Essence,automatique,Noir Etoilé,5,5,12 mois,,Fiat Autoexpert ALTA,non,,7 CV,130 ch,1,132 g/kmC,5.8 l/100km,EURO6
15,RENAULT LAGUNA 3 COUPE,III COUPE 3.5 V6 240 INITIALE BVA,14980,06,2010,11/09/2010,requis,135 650 Km,Essence,automatique,NOIR,2,4,6 mois,,,non,,16 CV,238 ch,2,238 g/kmF,10 l/100km,EURO4
16,RENAULT MEGANE 5,V E-TECH EV60 220 SUPER CHARGE TECHNO,44150,78,2023,09/08/2023,non requis,11 Km,Electrique,automatique,BLEU NOCTURNE,5,5,24 mois,,,oui,,4 CV,220 ch,0,0 g/kmA,,EURO6
17,RENAULT MEGANE 5,V E-TECH EV60 220 SUPER CHARGE TECHNO,42560,78,2023,16/04/2023,non requis,11 Km,Electrique,automatique,BLEU NOCTURNE,5,5,24 mois,,,oui,,4 CV,220 ch,0,0 g/kmA,,EURO6
18,RENAULT AVANTIME,V6 24S PRIVILEGE,14400,28,2003,16/12/2003,requis,155 385 Km,Essence,mécanique,GRIS F,3,5,6 mois,,,non,,14 CV,210 ch,3,,11.3 l/100km,EURO3
19,RENAULT VEL SATIS,(2) 2.0 DCI 150 FAP CARMINAT,8530,28,2010,10/01/2011,requis,198 908 Km,Diesel,mécanique,BLEU FONCE,5,5,6 mois,,,non,,9 CV,150 ch,3,194 g/kmE,7.3 l/100km,EURO4
20,RENAULT LAGUNA 3 COUPE,III COUPE 3.5 V6 240 INITIALE BVA,14980,06,2010,11/09/2010,requis,135 650 Km,Essence,automatique,NOIR,2,4,6 mois,,,non,,16 CV,238 ch,2,238 g/kmF,10 l/100km,EURO4
21,RENAULT CLIO 5,V 1.0 TCE 90 TECHNO,24400,27,2023,26/02/2023,non requis,6 Km,Essence,mécanique,Gris Platine,5,5,,,,non,,5 CV,91 ch,1,116 g/kmB,5.1 l/100km,EURO6
22,RENAULT CLIO 4,IV (2) 0.9 TCE 90 ENERGY LIMITED,14500,68,2018,09/05/2018,requis,117 814 Km,Essence,mécanique,Blanc,5,5,8 mois,,SPOTICAR,non,,5 CV,90 ch,1,105 g/kmB,4.7 l/100km,EURO6
23,RENAULT MEGANE 4,IV 1.3 TCE 140 FAP BUSINESS,20670,77,2020,12/01/2021,non requis,57 500 Km,Essence,mécanique,GRIS,5,5,12 mois,,SPOTICAR,non,,7 CV,140 ch,1,120 g/kmB,5.2 l/100km,EURO6
24,RENAULT KADJAR,1.2 TCE 130 ENERGY SL BLACK EDITION EDC,21030,34,2017,02/03/2017,requis,83 846 Km,Essence,automatique,Noir Etoilé,5,5,12 mois,,Fiat Autoexpert ALTA,non,,7 CV,130 ch,1,132 g/kmC,5.8 l/100km,EURO6
25,RENAULT CLIO 4,IV 1.5 DCI 90 ENERGY LIMITED ECO2 82G,11980,37,2018,08/08/2018,requis,119 756 Km,Diesel,mécanique,gris,5,5,12 mois,,SPOTICAR,non,2,4 CV,90 ch,2,82 g/kmA,3.1 l/100km,EURO6
26,RENAULT SCENIC 4,IV 1.2 TCE 115 ENERGY ZEN,20550,37,2018,30/07/2018,requis,38 655 Km,Essence,mécanique,jaune,5,5,12 mois,,SPOTICAR,oui,1,6 CV,116 ch,1,129 g/kmC,5 l/100km,EURO6
27,RENAULT CAPTUR 2,II 1.3 TCE 140 INTENS MY21,28290,31,2023,08/07/2023,non requis,3 301 Km,Essence,mécanique,gris,5,5,12 mois,,,oui,1,7 CV,140 ch,1,132 g/kmC,5.7 l/100km,EURO6
28,RENAULT CAPTUR,1.2 TCE 120 ENERGY INTENS EDC,16090,40,2017,12/12/2017,requis,35 070 Km,Essence,automatique,NOIR,5,5,6 mois,,Garantie OR,oui,,6 CV,120 ch,1,125 g/kmC,5.5 l/100km,EURO6
29,RENAULT MEGANE 4,IV 1.5 DCI 110 ENERGY LIMITED,16370,47,2018,17/12/2018,non requis,100 292 Km,Diesel,mécanique,Bleu,5,5,12 mois,,,non,2,5 CV,110 ch,2,95 g/kmA,3.4 l/100km,EURO6
30,RENAULT ZOE,(2) R135 ZEN,23160,91,2021,24/11/2021,non requis,18 522 Km,Electrique,automatique,Bleu Clair Métal,5,5,12 mois,,Fiat Autoexpert ALTA,non,,1 CV,135 ch,0,0 g/kmA,,EURO6
31,RENAULT KADJAR,(2) 1.5 DCI BLUE 115 BUSINESS EDC,27350,76,2021,06/07/2021,non requis,49 959 Km,Diesel,automatique,GRIS HIGHLAND,5,5,3 mois,,,non,,6 CV,115 ch,2,113 g/kmB,4.3 l/100km,EURO6
32,RENAULT MEGANE 4,IV (2) 1.5 BLUE DCI 115 BUSINESS,18060,76,2021,25/08/2021,non requis,36 592 Km,Diesel,mécanique,Blanc,5,5,,en cours,,non,,6 CV,115 ch,2,119 g/kmB,4.5 l/100km,EURO6
33,RENAULT MEGANE 4,IV 1.5 DCI 110 ENERGY LIMITED,16370,47,2018,17/12/2018,non requis,100 292 Km,Diesel,mécanique,Bleu,5,5,12 mois,,,non,2,5 CV,110 ch,2,95 g/kmA,3.4 l/100km,EURO6
34,RENAULT CAPTUR 2,II 1.0 TCE 90 ENERGY INTENS MY21,23070,87,2022,12/03/2022,non requis,12 279 Km,Essence,mécanique,blanc,5,5,,en cours,,non,,5 CV,90 ch,1,136 g/kmC,6 l/100km,EURO6
35,RENAULT CAPTUR,1.2 TCE 120 ENERGY INTENS EDC,16090,40,2017,12/12/2017,requis,35 070 Km,Essence,automatique,NOIR,5,5,6 mois,,Garantie OR,oui,,6 CV,120 ch,1,125 g/kmC,5.5 l/100km,EURO6
36,RENAULT KADJAR,(2) 1.5 BLUE DCI 115 SL GRAPHITE EDC,29980,13,2021,07/06/2021,non requis,35 000 Km,Diesel,automatique,rouge,5,5,,,,non,2,6 CV,116 ch,2,113 g/kmB,4.3 l/100km,EURO6
37,RENAULT MEGANE 4 ESTATE,IV (2) ESTATE 1.5 DCI 115 BLUE BUSINESS,21260,31,2021,05/08/2021,non requis,36 467 Km,Diesel,mécanique,gris,5,5,12 mois,,,oui,1,6 CV,116 ch,2,119 g/kmB,4.5 l/100km,EURO6
38,RENAULT CAPTUR,0.9 TCE 90 INTENS MY21,25620,67,2023,09/04/2023,non requis,11 608 Km,Essence,mécanique,blanc,5,,,,,non,,5 CV,91 ch,,133 g/kmC,,
39,RENAULT MEGANE 3,III 1.5 DCI 85 AUTHENTIQUE,7370,72,2011,01/04/2011,requis,214 144 Km,Diesel,mécanique,gris,5,5,12 mois,,,non,2,5 CV,86 ch,3,115 g/kmB,4 l/100km,EURO4
40,RENAULT MEGANE 3 ESTATE,III (3) ESTATE 1.6 DCI 130 ENERGY GT-LINE ECO2,10120,72,2014,08/09/2014,requis,203 511 Km,Diesel,mécanique,blanc,5,5,12 mois,,,non,2,6 CV,131 ch,2,104 g/kmB,3.6 l/100km,EURO5
41,RENAULT MEGANE 3 COUPE,III COUPE 1.5 DCI 110 FAP DYNAMIQUE EURO5,8160,33,2012,23/01/2013,requis,233 630 Km,Diesel,mécanique,noir,3,5,12 mois,,,non,4,6 CV,110 ch,2,114 g/kmB,4 l/100km,EURO5
42,RENAULT MEGANE 4,IV 1.2 TCE 130 ENERGY LIMITED EDC,21300,83,2019,25/04/2019,non requis,36 030 Km,Essence,automatique,Blanc,5,5,12 mois,,Das WeltAuto. Medium,non,2,7 CV,132 ch,1,122 g/kmC,4.7 l/100km,EURO6
43,RENAULT CLIO 4,IV (2) 1.5 DCI 75 ENERGY BUSINESS,9340,75,2019,03/08/2019,non requis,79 275 Km,Diesel,mécanique,blanc,5,5,,,,non,,4 CV,75 ch,2,85 g/kmA,3.3 l/100km,EURO6
44,RENAULT CLIO 4,IV 0.9 TCE 90 ENERGY LIMITED ECO2,11750,77,2015,02/11/2015,requis,106 801 Km,Essence,mécanique,Gris Clair Métal,5,5,6 mois,,,oui,,5 CV,90 ch,1,105 g/kmB,4.5 l/100km,EURO5
