,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,RENAULT GRAND SCENIC 4,IV 1.5 DCI 110 ENERGY INTENS EDC 5PL,22480,76,2018,19/08/2018,requis,120 571 Km,Diesel,automatique,blanc,5,7,12 mois,,SPOTICAR,non,3,5 CV,110 ch,2,104 g/kmB,3.9 l/100km,EURO6
1,RENAULT KADJAR,1.6 DCI 130 ENERGY INTENS,19410,82,2019,23/05/2019,non requis,76 462 Km,Diesel,mécanique,Gris Platine,5,5,12 mois,,SPOTICAR,non,,7 CV,130 ch,2,117 g/kmB,4.5 l/100km,EURO6
2,RENAULT KANGOO 2 EXPRESS,II EXPRESS EXTRA L1 DCI 90 EURO5,9310,13,2015,23/10/2015,requis,156 161 Km,Diesel,mécanique,blanc,4,3,6 mois,,SPOTICAR,non,3,5 CV,90 ch,2,119 g/kmB,4.2 l/100km,EURO5
3,RENAULT TALISMAN,2.0 BLUE DCI 160 BUSINESS INTENS EDC,23080,76,2020,09/09/2020,non requis,38 521 Km,Diesel,automatique,noir,5,5,12 mois,,SPOTICAR,non,2,8 CV,161 ch,2,126 g/kmC,4.8 l/100km,EURO6
4,RENAULT MEGANE 3 COUPE RS,III (3) COUPE 2.0 T 275 RS S&S EURO6,27480,76,2017,13/06/2017,requis,92 813 Km,Essence,mécanique,gris,3,5,12 mois,,SPOTICAR,non,2,17 CV,273 ch,1,174 g/kmE,6.2 l/100km,EURO6
5,RENAULT MEGANE 3,III (3) 1.2 TCE 115 LIMITED ECO2,10780,76,2015,21/07/2015,requis,105 751 Km,Essence,mécanique,blanc,5,5,8 mois,,SPOTICAR,non,2,6 CV,116 ch,1,119 g/kmB,4.6 l/100km,EURO5
6,RENAULT CAPTUR,(2) 1.5 DCI 110 ENERGY INTENS,17820,13,2018,03/04/2018,requis,44 965 Km,Diesel,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,1,5 CV,110 ch,2,98 g/kmA,3.6 l/100km,EURO6
7,RENAULT CAPTUR,1.5 DCI 90 ENERGY BUSINESS ECO2,12900,13,2016,04/02/2016,requis,81 220 Km,Diesel,mécanique,gris,5,5,8 mois,,SPOTICAR,non,2,4 CV,90 ch,2,95 g/kmA,3.4 l/100km,EURO5
8,RENAULT CLIO 4,IV 0.9 TCE 90 ENERGY INTENS ECO2,7740,34,2014,12/02/2014,requis,185 191 Km,Essence,mécanique,ROUGE,5,5,6 mois,,,non,,5 CV,90 ch,1,105 g/kmB,4.5 l/100km,EURO5
9,RENAULT MEGANE 4,IV 1.2 TCE 130 ENERGY ZEN,17410,25,2018,09/08/2018,requis,74 665 Km,Essence,mécanique,bleu,5,5,6 mois,,,non,3,7 CV,132 ch,1,123 g/kmC,4.6 l/100km,EURO6
10,RENAULT MEGANE 4,IV 1.6 DCI 165 ENERGY INTENS EDC,20300,57,2019,18/12/2019,non requis,109 706 Km,Diesel,automatique,BLANC,5,5,12 mois,,,oui,,8 CV,165 ch,2,121 g/kmC,4.6 l/100km,EURO6
11,RENAULT CAPTUR,1.2 TCE 120 ZEN EDC,18430,75,2018,25/10/2018,requis,44 690 Km,Essence,automatique,bleu,5,5,12 mois,,SPOTICAR,non,2,6 CV,118 ch,1,125 g/kmC,4.7 l/100km,EURO6
12,RENAULT CAPTUR,(2) 0.9 TCE 90 BUSINESS 123G,15580,77,2020,17/03/2020,non requis,106 142 Km,Essence,mécanique,GRIS F,5,5,,,,non,,5 CV,90 ch,1,123 g/kmC,5.4 l/100km,EURO6
13,RENAULT CAPTUR,1.2 TCE 120 ARIZONA EDC,14620,92,2016,31/01/2017,requis,102 635 Km,Essence,automatique,noir,5,5,8 mois,,SPOTICAR,non,2,6 CV,120 ch,1,125 g/kmC,4.7 l/100km,EURO5
14,RENAULT GRAND SCENIC 4,IV 1.3 TCE 140 ENERGY INTENS EDC 7PL,26580,77,2019,10/02/2019,non requis,55 188 Km,Essence,automatique,noir,5,7,12 mois,,,non,3,7 CV,140 ch,1,124 g/kmC,4.8 l/100km,EURO6
15,RENAULT MEGANE 4,IV (2) 1.3 TCE 140 FAP RS LINE EDC7 21B,28230,34,2022,03/04/2022,non requis,14 690 Km,Essence,automatique,bleu,5,5,,en cours,,non,2,7 CV,140 ch,1,138 g/kmC,5.9 l/100km,EURO6
16,RENAULT KADJAR,(2) 1.3 TCE 140 FAP 7CV BUSINESS,25800,21,2022,21/01/2023,non requis,38 718 Km,Essence,mécanique,NOIR ETOILE,5,5,12 mois,en cours,,oui,1,7 CV,140 ch,1,141 g/kmD,6.7 l/100km,EURO6
17,RENAULT KADJAR,(2) 1.3 TCE 140 FAP 7CV BUSINESS,23630,76,2022,15/09/2022,non requis,24 016 Km,Essence,mécanique,bleu,5,5,12 mois,en cours,SPOTICAR,non,2,7 CV,140 ch,1,141 g/kmD,6.7 l/100km,EURO6
18,RENAULT ARKANA,1.3 TCE 140 RS LINE EDC 21B,39040,27,2022,07/08/2022,non requis,15 250 Km,Essence,automatique,orange,5,5,24 mois,en cours,,oui,,7 CV,140 ch,1,,,EURO6
19,RENAULT TWINGO 3,III 0.9 TCE 90 ENERGY INTENS E6C,12080,59,2019,16/06/2019,non requis,34 552 Km,Essence,mécanique,noir,5,4,12 mois,,SPOTICAR,non,2,4 CV,90 ch,1,99 g/kmA,3.9 l/100km,EURO6
20,RENAULT TWINGO 3,III 1.0 SCE 70 ZEN E6C,10580,59,2018,07/10/2018,requis,37 875 Km,Essence,mécanique,noir,5,4,12 mois,,SPOTICAR,non,2,4 CV,69 ch,1,112 g/kmB,4.2 l/100km,EURO6
21,RENAULT CLIO 5,V 1.5 BLUE DCI 115 INTENS,19960,80,2020,15/11/2020,non requis,55 988 Km,Diesel,mécanique,bleu,5,5,6 mois,,,oui,1,5 CV,116 ch,2,95 g/kmA,3.6 l/100km,EURO6
22,RENAULT CLIO 4,IV (2) 1.5 DCI 75 ENERGY BUSINESS,14280,80,2019,09/06/2019,non requis,54 621 Km,Diesel,mécanique,blanc,5,5,6 mois,,,oui,1,4 CV,75 ch,2,104 g/kmB,4 l/100km,EURO6
23,RENAULT SCENIC 4,IV 1.7 BLUE DCI 120 BUSINESS,21580,80,2021,06/06/2021,non requis,43 987 Km,Diesel,mécanique,gris anthracite,5,5,6 mois,,,non,2,6 CV,120 ch,2,127 g/kmC,4.8 l/100km,EURO6
24,RENAULT MEGANE 4,IV 1.5 DCI 95 BLUE BUSINESS,13760,80,2020,13/05/2020,non requis,111 804 Km,Diesel,mécanique,gris clair,5,5,6 mois,,,oui,1,5 CV,95 ch,2,102 g/kmB,3.9 l/100km,EURO6
25,RENAULT SCENIC 3,III (3) 1.5 DCI 110 BOSE EDC,16640,80,2016,14/07/2016,requis,77 828 Km,Diesel,automatique,beige,5,5,6 mois,,,non,2,6 CV,110 ch,2,114 g/kmB,4.1 l/100km,EURO6
26,RENAULT MASTER 3,III (2) FOURGON TRACTION F3500 L3H2 BLUE DCI 135 CONFORT,44380,72,2023,28/09/2023,non requis,12 Km,Diesel,mécanique,GRIS URBAN,4,3,,,,non,,8 CV,135 ch,2,222 g/kmF,8.5 l/100km,EURO6
27,RENAULT TWINGO 3,III 0.9 TCE 90 ENERGY INTENS E6C,12580,74,2019,02/03/2019,non requis,18 414 Km,Essence,mécanique,vert,5,4,6 mois,,,oui,1,5 CV,90 ch,1,111 g/kmB,4.9 l/100km,EURO6
28,RENAULT MEGANE 4,IV 1.5 DCI 110 ENERGY INTENS EDC,22480,80,2019,06/12/2019,non requis,98 036 Km,Diesel,automatique,gris foncé,5,5,6 mois,,,oui,1,5 CV,110 ch,2,95 g/kmA,3.5 l/100km,EURO6
29,RENAULT CAPTUR 2,II 1.5 BLUE DCI 115 BUSINESS,25970,80,2022,11/05/2022,non requis,42 663 Km,Diesel,mécanique,noir,5,5,6 mois,en cours,,oui,1,6 CV,116 ch,2,125 g/kmC,5 l/100km,EURO6
30,RENAULT MEGANE 4,IV 1.5 DCI 115 BLUE BUSINESS,22400,80,2021,30/04/2021,non requis,36 940 Km,Diesel,mécanique,gris clair,5,5,6 mois,,,oui,1,6 CV,116 ch,2,118 g/kmB,4.5 l/100km,EURO6
31,RENAULT MEGANE 4,IV 1.5 DCI 115 BLUE INTENS EDC,24580,80,2020,10/07/2020,non requis,49 002 Km,Diesel,automatique,gris clair,5,5,6 mois,,,non,2,6 CV,116 ch,2,108 g/kmB,4.1 l/100km,EURO6
32,RENAULT MEGANE 4,IV 1.5 DCI 115 BLUE INTENS EDC,24580,80,2020,10/07/2020,non requis,49 002 Km,Diesel,automatique,gris clair,5,5,6 mois,,,non,2,6 CV,116 ch,2,108 g/kmB,4.1 l/100km,EURO6
33,RENAULT KADJAR,(2) 1.3 TCE 140 FAP 7CV BUSINESS,26380,80,2022,08/12/2022,non requis,30 330 Km,Essence,mécanique,noir,5,5,12 mois,en cours,,oui,1,7 CV,140 ch,1,141 g/kmD,6.7 l/100km,EURO6
34,RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,19870,80,2021,04/02/2021,non requis,27 534 Km,Diesel,mécanique,gris foncé,5,5,6 mois,,,oui,1,4 CV,86 ch,2,110 g/kmB,4.2 l/100km,EURO6
35,RENAULT MEGANE 4 ESTATE,IV (2) ESTATE 1.5 BLUE DCI 115 INTENS EDC,21780,80,2022,06/10/2022,non requis,83 396 Km,Diesel,automatique,bleu marine,5,5,6 mois,en cours,,oui,1,6 CV,116 ch,2,124 g/kmC,4.6 l/100km,EURO6
36,RENAULT GRAND SCENIC 4,IV 1.7 DCI 120 BLUE ZEN,22020,80,2021,09/02/2021,non requis,68 057 Km,Diesel,mécanique,beige,5,7,6 mois,,,oui,1,6 CV,120 ch,2,127 g/kmC,4.8 l/100km,EURO6
37,RENAULT GRAND SCENIC 4,IV 1.7 DCI BLUE 150 INITIALE PARIS EDC,30760,80,2020,12/03/2020,non requis,75 202 Km,Diesel,automatique,gris clair,5,7,6 mois,,,oui,1,8 CV,150 ch,2,127 g/kmC,4.8 l/100km,EURO6
38,RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,19820,80,2021,13/09/2021,non requis,42 572 Km,Diesel,mécanique,bleu marine,5,5,6 mois,,,oui,1,4 CV,86 ch,2,95 g/kmA,3.6 l/100km,EURO6
39,RENAULT CLIO 4,IV (2) 1.5 DCI 75 ENERGY ZEN,12580,80,2018,29/07/2018,requis,94 225 Km,Diesel,mécanique,gris,5,5,6 mois,,,non,2,4 CV,75 ch,2,85 g/kmA,3.1 l/100km,EURO6
40,RENAULT CLIO 3 RS,III (2) 2.0 16V 203 RS CUP,12490,17,2010,07/07/2010,requis,88 750 Km,Essence,mécanique,Noir,3,4,,,,non,2,12 CV,201 ch,2,195 g/kmE,6.4 l/100km,EURO4
41,RENAULT CLIO 5,V 1.0 TCE 90 TECHNO,27480,81,2023,11/09/2023,non requis,13 Km,Essence,mécanique,BLANC GLACIER,5,5,,,,non,,5 CV,91 ch,1,116 g/kmB,5.1 l/100km,EURO6
42,RENAULT CLIO 5,V 1.0 TCE 100 GPL INTENS,20810,83,2022,07/01/2023,non requis,58 408 Km,Bicarburation essence GPL,mécanique,GRIS TITANIUM,5,5,6 mois,en cours,,oui,1,5 CV,101 ch,1,109 g/kmB,6.9 l/100km,EURO6
43,RENAULT KADJAR,1.2 TCE 130 ENERGY INTENS EDC,20380,83,2017,09/10/2017,requis,63 816 Km,Essence,automatique,GRIS TITANIUM,5,5,6 mois,,,non,2,7 CV,131 ch,1,132 g/kmC,5.2 l/100km,EURO6
44,RENAULT CAPTUR 2,II 1.0 TCE 100 BUSINESS 2020,21040,83,2021,06/07/2021,non requis,18 011 Km,Essence,mécanique,GRIS HIGHLAND,5,5,6 mois,,,oui,1,5 CV,101 ch,1,135 g/kmC,,EURO6
45,RENAULT CAPTUR 2,II 1.5 BLUE DCI 115 INTENS EDC,26540,83,2021,15/09/2021,non requis,30 510 Km,Diesel,automatique,BLANC QNW  ORANGE EPY,5,5,6 mois,,,oui,1,6 CV,116 ch,2,130 g/kmC,5 l/100km,EURO6
46,RENAULT CLIO 4,IV (2) 1.5 DCI 90 INTENS,16450,83,2019,16/11/2019,non requis,50 469 Km,Diesel,mécanique,GRIS CLAIR,5,5,6 mois,,,oui,1,5 CV,90 ch,2,104 g/kmB,4 l/100km,EURO6
47,RENAULT ZOE,R90 LIFE,13900,83,2020,08/02/2020,non requis,91 900 Km,Electrique,automatique,BLANC GLACIER,5,5,6 mois,,,oui,1,1 CV,59 ch,0,0 g/kmA,,EURO6
48,RENAULT KADJAR,1.2 TCE 130 ENERGY INTENS EDC,20380,83,2017,09/10/2017,requis,63 816 Km,Essence,automatique,GRIS TITANIUM,5,5,6 mois,,,non,2,7 CV,131 ch,1,132 g/kmC,5.2 l/100km,EURO6
49,RENAULT KADJAR,1.6 DCI 130 ENERGY INTENS,21760,83,2018,03/07/2018,requis,68 556 Km,Diesel,mécanique,NOIR,5,5,6 mois,,,non,2,7 CV,131 ch,2,117 g/kmB,4.1 l/100km,EURO6
50,RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,16890,83,2021,25/11/2021,non requis,16 050 Km,Diesel,mécanique,GRIS TITANIUM,5,5,12 mois,,Garantie OR,oui,1,4 CV,86 ch,2,110 g/kmB,4.2 l/100km,EURO6
51,RENAULT ZOE,R90 LIFE,13900,83,2020,08/02/2020,non requis,91 900 Km,Electrique,automatique,BLANC GLACIER,5,5,6 mois,,,oui,1,1 CV,59 ch,0,0 g/kmA,,EURO6
52,RENAULT CAPTUR,(2) 1.5 DCI 90 ENERGY INTENS,16600,54,2019,29/12/2019,non requis,54 960 Km,Diesel,mécanique,Beige,5,5,6 mois,,,non,2,4 CV,90 ch,2,95 g/kmA,3.5 l/100km,EURO6
