,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,VOLKSWAGEN POLO 5,V (2) 1.2 TSI 90 BLUEMOTION TECHNOLOGY CONFORTLINE 5P,15350,75,2018,04/11/2018,requis,39 624 Km,Essence,mécanique,bleu,5,5,12 mois,,,oui,,5 CV,90 ch,1,109 g/kmB,4 l/100km,EURO6
1,VOLKSWAGEN CADDY 4 FOURGON,IV VAN 1.4 TSI 125,22360,94,2020,26/06/2020,non requis,37 538 Km,Essence,mécanique,blanc,4,2,12 mois,,SPOTICAR,oui,1,8 CV,125 ch,1,133 g/kmC,5.1 l/100km,EURO6
2,VOLKSWAGEN TIGUAN 2,II 2.0 TDI 150 CONNECT BV6,29700,13,2020,16/07/2020,non requis,62 329 Km,Diesel,mécanique,noir,5,5,12 mois,,SPOTICAR,non,2,8 CV,150 ch,2,122 g/kmC,4.8 l/100km,EURO6
3,VOLKSWAGEN GOLF 7,VII (2) 1.6 TDI 115 BLUEMOTION TECHNOLOGY CONFORT BUSINESS DSG7 5P,21890,24,2019,11/02/2019,non requis,84 897 Km,Diesel,automatique,gris,5,5,6 mois,,,oui,1,6 CV,116 ch,2,102 g/kmB,4 l/100km,EURO6
4,VOLKSWAGEN TAIGO,1.0 TSI 110 LIFE BVM6,25420,39,2023,23/05/2023,non requis,12 455 Km,Essence,mécanique,Blanc,5,5,24 mois,,,oui,1,6 CV,110 ch,1,125 g/kmC,5.4 l/100km,EURO6
5,VOLKSWAGEN GOLF 7,VII 1.4 TSI 125 BLUEMOTION TECHNOLOGY ALLSTAR BV6 5P,19740,76,2017,02/09/2017,requis,97 471 Km,Essence,mécanique,Gris,5,5,12 mois,,Audi occasions plus,oui,1,6 CV,125 ch,1,120 g/kmB,4.3 l/100km,EURO6
6,VOLKSWAGEN T-CROSS,1.0 TSI 115 FIRST EDITION,23350,39,2020,10/10/2020,non requis,34 941 Km,Essence,mécanique,Blanc,5,5,12 mois,,,non,2,6 CV,116 ch,1,105 g/kmB,5.1 l/100km,EURO6
7,VOLKSWAGEN TIGUAN 2,II (2) 2.0 TDI 150 R-LINE EXCLUSIVE DSG7,56610,69,2023,17/07/2023,non requis,5 900 Km,Diesel,automatique,Bleu,5,5,,,,oui,1,8 CV,150 ch,2,152 g/kmD,5.5 l/100km,EURO6
8,VOLKSWAGEN GOLF CABRIOLET,CABRIOLET 1.8 112 SPORT LINE,15290,75,1995,18/06/1995,requis,242 248 Km,Essence,mécanique,GRIS,2,,6 mois,,,non,,9 CV,112 ch,,,,EURO1
9,VOLKSWAGEN POLO 6,VI (2) 1.0 TSI 95 LIFE,22280,06,2022,01/09/2022,non requis,3 739 Km,Essence,mécanique,Blanc Pur,5,5,,,,non,,5 CV,95 ch,1,117 g/kmB,5.2 l/100km,EURO6
