,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,VOLKSWAGEN TIGUAN 2,II 2.0 TDI 150 BLUEMOTION TECHNOLOGY CARAT 4MOTION DSG7,28840,45,2018,01/06/2018,requis,107 892 Km,Diesel,automatique,noir,5,5,,,,non,2,8 CV,150 ch,2,149 g/kmD,5.1 l/100km,EURO6
1,VOLKSWAGEN TOURAN 3,III 1.6 TDI 115 BLUEMOTION TECHNOLOGY CONFORTLINE DSG7,27120,03,2019,17/04/2019,non requis,71 320 Km,Diesel,automatique,noir,5,5,6 mois,,,oui,1,6 CV,116 ch,2,114 g/kmB,4.2 l/100km,EURO6
2,VOLKSWAGEN GOLF 6 GTI CABRIOLET,VI CABRIOLET 2.0 TSI 210 GTI,23280,75,2016,10/06/2016,requis,75 521 Km,Essence,mécanique,ROUGE,2,4,6 mois,,,non,,13 CV,210 ch,1,177 g/kmE,7.6 l/100km,EURO5
3,VOLKSWAGEN GOLF 7,VII 1.2 TSI 110 BLUEMOTION TECHNOLOGY ALLSTAR BV6 3P,18220,75,2017,21/07/2017,requis,91 023 Km,Essence,mécanique,NOIR,3,5,6 mois,,,non,,6 CV,110 ch,1,114 g/kmB,4.9 l/100km,EURO6
4,VOLKSWAGEN GOLF 4,IV 1.4 3P 5CV,6310,75,2001,10/04/2001,requis,23 243 Km,Essence,mécanique,GRIS,3,,6 mois,,,non,,5 CV,75 ch,3,,,EURO2
5,VOLKSWAGEN 1303,1.3 44,22120,75,1976,20/03/1976,requis,19 030 Km,Essence,mécanique,ORANGE,2,,6 mois,,,non,,,44 ch,,,,
6,VOLKSWAGEN POLO 6,VI 1.0 TSI 95 CONFORTLINE DSG7,22990,11,2019,01/08/2019,non requis,38 999 Km,Essence,automatique,Limestone Grey Metallic,5,5,12 mois,,Das WeltAuto. Medium,oui,1,5 CV,95 ch,1,103 g/kmB,4.6 l/100km,EURO6
7,VOLKSWAGEN T-ROC,(2) 2.0 TDI 150 START/STOP R-LINE DSG7,46830,30,2023,11/10/2023,non requis,22 976 Km,Diesel,automatique,Gris,5,5,24 mois,,,oui,1,8 CV,150 ch,2,135 g/kmC,4.9 l/100km,EURO6
8,VOLKSWAGEN EOS,(2) 2.0 TDI 140 BLUEMOTION TECHNOLOGY CARAT DSG,21860,75,2015,26/12/2015,requis,32 690 Km,Diesel,automatique,ROUGE,2,4,6 mois,,,non,,8 CV,140 ch,2,139 g/kmC,5.3 l/100km,EURO5
9,VOLKSWAGEN T-CROSS,1.0 TSI 110 START/STOP R-LINE TECH DSG7,34040,84,2023,29/11/2023,non requis,5 450 Km,Essence,automatique,REFLET D\'ARGENT METALLISE,5,5,,,,oui,1,6 CV,110 ch,1,141 g/kmD,6.2 l/100km,EURO6
10,VOLKSWAGEN EOS,(2) 2.0 TDI 140 BLUEMOTION TECHNOLOGY CARAT DSG,21670,06,2015,28/03/2015,requis,32 395 Km,Diesel,automatique,ROUGE,2,4,6 mois,,,oui,,8 CV,140 ch,2,139 g/kmC,5.3 l/100km,EURO5
11,VOLKSWAGEN T-CROSS,1.0 TSI 110 ACTIVE DSG,26770,53,2022,14/03/2022,non requis,25 682 Km,Essence,automatique,Gris,5,5,24 mois,,Das WeltAuto. Medium,oui,1,6 CV,110 ch,1,142 g/kmD,6.2 l/100km,EURO6
